wall_time,step,reward
1777914715.386758,10016,-2.0
1777914715.816725,10056,-2.0
1777914715.9243045,10066,-2.0
1777914715.9878592,10072,-2.0
1777914716.0876095,10081,-2.0
1777914716.8653176,10151,-2.0
1777914717.1255288,10175,-2.0
1777914717.6849625,10227,-2.0
1777914717.9571142,10252,-2.0
1777914718.5318274,10305,-2.0
1777914718.7375638,10324,-2.0
1777914720.880567,10522,-2.0
1777914720.9803166,10530,-2.0
1777914721.808554,10606,-2.0
1777914722.3230288,10653,-2.0
1777914722.464482,10666,-2.0
1777914723.4469678,10757,-2.0
1777914723.5328507,10765,-2.0
1777914723.743135,10785,-2.0
1777914724.0840163,10817,-2.0
1777914724.361212,10843,-2.0
1777914724.4237664,10849,-2.0
1777914724.7986197,10884,-2.0
1777914725.208819,10921,-2.0
1777914725.8825498,10983,-2.0
1777914726.6853864,11057,-2.0
1777914727.0801725,11092,-2.0
1777914728.0122545,11178,-2.0
1777914728.6427913,11237,-2.0
1777914729.9112458,11353,-2.0
1777914730.3197799,11391,-2.0
1777914730.5258255,11410,-2.0
1777914731.31507,11483,-2.0
1777914731.7133396,11520,-2.0
1777914732.8920321,11628,-2.0
1777914732.9589658,11634,-2.0
1777914733.6514466,11697,-2.0
1777914733.7254243,11704,-2.0
1777914734.4381988,11770,-2.0
1777914735.4597852,11864,-2.0
1777914735.5051215,11867,-2.0
1777914735.8747592,11901,-2.0
1777914736.1444883,11926,-2.0
1777914737.255792,12029,-2.0
1777914738.209476,12117,-2.0
1777914738.274359,12123,-2.0
1777914738.60073,12153,-2.0
1777914738.7719617,12169,-2.0
1777914739.9321408,12275,-2.0
1777914740.6740713,12344,-2.0
1777914741.152142,12388,-2.0
1777914741.1745198,12390,-2.0
1777914741.5631783,12425,-2.0
1777914742.1086679,12475,-2.0
1777914742.3976548,12502,-2.0
1777914742.5285,12514,-2.0
1777914743.3021276,12585,-2.0
1777914743.4857955,12601,-2.0
1777914743.5071242,12603,-2.0
1777914743.777452,12628,-2.0
1777914745.2367752,12763,-2.0
1777914747.847673,13005,-2.0
1777914747.8796399,13008,-2.0
1777914749.5141022,13160,-2.0
1777914749.5873663,13166,-2.0
1777914751.3484936,13328,-2.0
1777914751.4145582,13334,-2.0
1777914751.5014658,13342,-2.0
1777914751.930807,13381,-2.0
1777914752.1162248,13398,-2.0
1777914752.3217413,13417,-2.0
1777914752.5190723,13435,-2.0
1777914753.1205747,13490,-2.0
1777914753.5669816,13531,-2.0
1777914753.671159,13540,-2.0
1777914754.3478377,13603,-2.0
1777914754.7396448,13639,-2.0
1777914754.806173,13645,-2.0
1777914755.0068898,13663,-2.0
1777914755.15924,13677,-2.0
1777914755.4060915,13700,-2.0
1777914755.5265007,13711,-2.0
1777914755.5698094,13715,-2.0
1777914755.613154,13719,-2.0
1777914755.8332527,13739,-2.0
1777914756.3746688,13789,-2.0
1777914756.6257312,13812,-2.0
1777914757.8555064,13923,-2.0
1777914758.0911233,13945,-2.0
1777914758.4673083,13980,-2.0
1777914758.6503656,13997,-2.0
1777914759.2086155,14049,-2.0
1777914759.303988,14058,-2.0
1777914759.3251357,14060,-2.0
1777914759.9069762,14113,-2.0
1777914760.165251,14137,-2.0
1777914760.335083,14153,-2.0
1777914760.5523653,14173,-2.0
1777914761.4554768,14257,-2.0
1777914762.7593215,14377,-2.0
1777914763.050559,14404,-2.0
1777914764.0250974,14490,-2.0
1777914764.4248564,14527,-2.0
1777914764.4472888,14529,-2.0
1777914764.6638246,14549,-2.0
1777914765.016525,14582,-2.0
1777914766.338284,14703,-2.0
1777914766.7421584,14740,-2.0
1777914766.7866664,14744,-2.0
1777914766.8521457,14750,-2.0
1777914767.0593114,14769,-2.0
1777914767.1558335,14778,-2.0
1777914767.2103553,14783,-2.0
1777914767.7434177,14832,-2.0
1777914767.9494073,14851,-2.0
1777914767.9829755,14854,-2.0
