wall_time,step,reward
1777914712.5764117,0,1.0
1777914712.5996258,136,2.0
1777914712.6173782,241,3.0
1777914712.6329892,330,4.0
1777914712.6579943,482,5.0
1777914712.6746264,573,6.0
1777914712.690645,666,7.0
1777914712.723569,806,8.0
1777914712.7528677,939,9.0
1777914712.7786155,1086,10.0
1777914712.7963462,1186,11.0
1777914712.8110974,1264,12.0
1777914712.8341913,1398,13.0
1777914712.8559568,1523,14.0
1777914712.8797643,1663,15.0
1777914712.8945367,1744,16.0
1777914712.9257498,1929,17.0
1777914712.9437447,2030,18.0
1777914712.9630356,2142,19.0
1777914712.9849534,2272,20.0
1777914713.0073504,2393,21.0
1777914713.02396,2481,22.0
1777914713.0512867,2639,23.0
1777914713.0669036,2728,24.0
1777914713.083097,2822,25.0
1777914713.1016645,2926,26.0
1777914713.1154354,2998,27.0
1777914713.1494527,3192,28.0
1777914713.162649,3265,29.0
1777914713.1785495,3354,30.0
1777914713.195497,3448,31.0
1777914713.2182982,3579,32.0
1777914713.2335887,3667,33.0
1777914713.252597,3779,34.0
1777914713.2705398,3885,35.0
1777914713.2888136,3992,36.0
1777914713.3060327,4090,37.0
1777914713.324126,4197,38.0
1777914713.3373692,4271,39.0
1777914713.3552916,4371,40.0
1777914713.377908,4501,41.0
1777914713.3938487,4591,42.0
1777914713.4126313,4697,43.0
1777914713.4262886,4769,44.0
1777914713.448057,4887,45.0
1777914713.4661489,4986,46.0
1777914713.481058,5070,47.0
1777914713.5015478,5188,48.0
1777914713.5247586,5327,49.0
1777914713.5463285,5452,50.0
1777914713.5629425,5544,51.0
1777914713.5798776,5635,52.0
1777914713.6020043,5764,53.0
1777914713.619655,5866,54.0
1777914713.646305,6024,55.0
1777914713.663829,6120,56.0
1777914713.683619,6236,57.0
1777914713.7062948,6370,58.0
1777914713.726495,6483,59.0
1777914713.7446477,6586,60.0
1777914713.766502,6717,61.0
1777914713.7830265,6810,62.0
1777914713.8010502,6913,63.0
1777914713.816418,6996,64.0
1777914713.8337545,7095,65.0
1777914713.850542,7189,66.0
1777914713.8665292,7285,67.0
1777914713.8812306,7370,68.0
1777914713.9032202,7502,69.0
1777914713.9172792,7582,70.0
1777914713.9307992,7660,71.0
1777914713.9422324,7726,72.0
1777914713.9724529,7912,73.0
1777914713.990172,8016,74.0
1777914714.0034692,8093,75.0
1777914714.022059,8188,76.0
1777914714.0468543,8330,77.0
1777914714.0644684,8425,78.0
1777914714.0791464,8503,79.0
1777914714.1005118,8625,80.0
1777914714.1245098,8761,81.0
1777914714.1426282,8863,82.0
1777914714.1615345,8967,83.0
1777914714.1846955,9093,84.0
1777914714.204703,9207,85.0
1777914714.222543,9309,86.0
1777914714.241705,9418,87.0
1777914714.2594633,9518,88.0
1777914714.2839336,9662,89.0
1777914714.30108,9758,90.0
1777914714.3182802,9856,91.0
1777914714.3412402,9992,92.0
1777914716.1471925,10087,93.0
1777914721.0300333,10535,94.0
1777914731.872978,11535,95.0
1777914741.0584238,12380,96.0
1777914751.9121873,13380,97.0
1777914762.7862709,14380,98.0
1777914773.7528222,15380,99.0
1777914784.675304,16380,100.0
1777914795.5315363,17380,101.0
1777914806.451565,18380,102.0
1777914817.34125,19380,103.0
1777914820.5873892,19674,104.0
1777914829.1616926,20416,105.0
1777914835.0038264,20952,106.0
1777914840.9939587,21498,107.0
1777914845.492528,21908,108.0
1777914850.0691025,22329,109.0
1777914855.2307925,22803,110.0
1777914866.1112547,23803,111.0
1777914877.0395918,24803,112.0
1777914886.1828887,25630,113.0
1777914891.867601,26144,114.0
1777914900.5410404,26934,115.0
1777914911.5240717,27934,116.0
1777914922.4777203,28934,117.0
1777914927.1729984,29362,118.0
1777914936.7714217,30200,119.0
1777914940.998953,30583,120.0
1777914947.4192338,31167,121.0
1777914958.382582,32167,122.0
1777914967.565089,32991,123.0
1777914977.8926566,33918,124.0
1777914986.671985,34704,125.0
1777914993.0751395,35285,126.0
1777914997.9941502,35732,127.0
1777915009.0418499,36732,128.0
1777915020.0418706,37732,129.0
1777915031.083167,38732,130.0
1777915042.2918828,39732,131.0
1777915053.7306392,40732,132.0
1777915064.7289045,41732,133.0
1777915072.5252256,42440,134.0
1777915083.5073385,43440,135.0
1777915094.5320475,44440,136.0
1777915100.2828517,44966,137.0
1777915109.3914273,45794,138.0
1777915120.317623,46794,139.0
1777915127.311154,47430,140.0
1777915138.2799683,48430,141.0
1777915149.303045,49430,142.0
1777915160.8316429,50430,143.0
1777915172.1437888,51430,144.0
1777915177.6646032,51925,145.0
1777915186.644162,52730,146.0
1777915197.6920898,53730,147.0
1777915203.8177555,54282,148.0
1777915208.6905015,54718,149.0
1777915218.6826692,55611,150.0
1777915229.914408,56611,151.0
1777915233.3542402,56921,152.0
1777915239.4643586,57472,153.0
1777915243.8204534,57863,154.0
1777915249.1510375,58348,155.0
1777915252.6367218,58665,156.0
1777915255.0230405,58879,157.0
1777915257.4029522,59093,158.0
1777915260.8838408,59403,159.0
1777915262.722804,59568,160.0
1777915264.3857248,59720,161.0
1777915267.1258793,59966,162.0
1777915269.342459,60128,163.0
1777915273.29876,60486,164.0
1777915284.3535488,61486,165.0
1777915286.0544245,61639,166.0
1777915297.9374654,62639,167.0
1777915310.1988785,63639,168.0
1777915321.6765158,64639,169.0
1777915332.8052301,65639,170.0
1777915343.857171,66639,171.0
1777915349.9299643,67189,172.0
1777915358.510855,67966,173.0
1777915369.7241802,68966,174.0
1777915380.9117599,69966,175.0
1777915392.566818,70966,176.0
1777915402.0802417,71825,177.0
1777915406.3665729,72207,178.0
1777915414.2677197,72897,179.0
1777915425.8232305,73897,180.0
1777915436.5517566,74833,181.0
1777915447.9942684,75833,182.0
1777915459.3883762,76833,183.0
1777915470.641161,77833,184.0
1777915473.2947664,78068,185.0
1777915485.040041,79068,186.0
1777915490.3893187,79537,187.0
1777915500.9121912,80435,188.0
1777915512.1627932,81435,189.0
1777915517.9852874,81946,190.0
1777915529.1691048,82946,191.0
1777915540.485049,83946,192.0
1777915551.8391867,84946,193.0
1777915554.9294314,85218,194.0
1777915566.2565105,86218,195.0
1777915577.6817758,87218,196.0
1777915589.0015128,88218,197.0
1777915600.3768759,89218,198.0
1777915612.1212955,90218,199.0
1777915613.6828787,90354,200.0
1777915616.8093321,90629,201.0
1777915628.2044663,91629,202.0
1777915639.5561256,92629,203.0
1777915650.9372,93629,204.0
1777915662.1141455,94629,205.0
1777915673.5394378,95629,206.0
1777915680.895906,96276,207.0
1777915692.2257247,97272,208.0
1777915702.6571012,98195,209.0
1777915714.0212572,99195,210.0
1777915725.8191237,100195,211.0
1777915737.0963895,101195,212.0
1777915748.467944,102195,213.0
1777915759.8090165,103195,214.0
1777915771.099496,104195,215.0
1777915776.1410167,104639,216.0
1777915783.3065352,105275,217.0
1777915790.6881418,105927,218.0
1777915801.0563788,106838,219.0
1777915803.4704099,107051,220.0
1777915814.7899423,108051,221.0
1777915826.0936012,109051,222.0
1777915837.8767602,110051,223.0
1777915846.3984146,110804,224.0
