step,episode_reward
117,-111.42385328165778
210,-83.26334526935261
332,-193.26568426620645
438,-264.5895630673052
506,-141.8297472262607
576,-56.91622148522973
664,-123.69099727489825
738,-139.16015497837685
862,-171.40557679423486
977,-210.20180877870638
1080,-388.54553283522887
1184,-147.70774648044662
1295,-78.503173141971
1421,-119.81454597899906
1532,-137.14118201259453
1630,-159.60171835505957
1733,-57.72698393326186
1802,-154.243069014146
1873,-85.81549948423039
1940,-74.30989116332763
2066,-13.089586237478429
2152,-408.7213444636337
2228,-83.9732590532414
2305,-154.75837637365242
2380,-62.82234880013168
2520,-229.03159106892434
2631,-53.91885115321627
2760,-77.77450359430452
2822,-194.3819089173655
2909,-49.27121033192531
2974,-208.6006880726071
3121,-243.00816204447776
3224,-95.66198485541686
3318,-101.15501332806274
3386,-92.16261044479356
3470,-80.96009954632454
3609,-157.63136771080622
3680,-105.54594052709112
3781,-171.43737438392785
3864,-134.91488812237526
3977,-133.13392308855765
4050,-80.21092180557916
4172,-389.9400977945598
4255,-140.81657939032647
4322,-49.36537094810963
4421,-138.48679077145857
4545,-81.87373851151644
4637,-213.98789338101727
4757,-143.22577953853332
4866,-174.24329765200312
5016,-245.99376548554417
5109,-189.2221690541213
5265,-112.98748042056224
5397,-43.7781490255601
5465,-93.4317370593559
5543,-71.21806800404028
5665,-320.0857102781031
5775,-111.22359349113808
5855,-72.91883645443345
5959,-107.42563756337513
6072,-175.24008731826456
6189,-136.39847708625177
6308,-116.21073465300806
6450,-52.91751521239122
6599,-77.9865751115986
6676,-58.659831876717384
6846,-104.26931127165868
6978,-87.16641030050123
7117,-97.9514000814754
7202,-131.74220182197297
7339,-75.47904053243052
7437,-94.37806491456634
7577,-107.19766475520471
7756,-15.581439911526502
7902,-30.617063311563967
8097,-42.321667637616216
8216,-103.72131974757627
8342,-98.47587577158222
8438,-49.86650893110949
8538,-81.2890417817944
8680,-57.11023099342359
8804,-47.62971247509982
8927,-56.94088015407257
9021,-72.04713805035459
9164,-87.60262043433328
9277,-178.95071572374536
9408,-129.69396990924912
9542,-84.3644262918857
9735,-153.1024453766389
9794,-133.34786810840535
9933,-145.4910627545776
10012,-40.793734986503296
10082,-61.85792960776635
10287,-21.464388977640965
10448,-85.26079700352143
10538,-53.22008951767481
10695,-262.0640175679017
10886,-64.6841892756813
11085,-116.46577259309318
11335,-46.078224808098966
11489,-108.60458137508265
11613,-22.786936606531384
11742,-58.83455568242791
11897,4.889257646579807
12043,-117.59840654925164
12168,-80.09943453195116
12268,-45.89927587685024
12892,-67.27986263881076
13135,-293.06665782707626
13396,-42.88014824840172
