step,episode_reward
103,-400.3905348148052
215,-264.9065940987634
297,-129.55830265975473
390,-147.49571153266544
455,-291.95403581901195
530,-75.25663470237635
604,-438.7216294403945
706,-413.4526319368982
796,-126.9614527365384
904,-428.42554055142784
1022,-113.38300470110366
1087,-115.21465679333143
1177,-120.10471497699484
1284,-119.10740095947054
1381,-82.74223263128916
1449,-132.91146999760852
1529,-237.65883395250697
1596,-101.50555576584019
1710,-146.86538717026292
1817,-58.389377686783526
1914,-107.0788324993617
1980,-117.78425782146905
2081,-150.79831270224707
2193,-172.7274986528077
2274,-45.88553634948871
2351,-59.522058764033964
2450,-109.53738750253235
2547,-139.50824600845817
2642,-62.074529606496185
2712,-76.73663739474125
2826,-153.44083474501176
2918,-209.76923786916836
2988,-84.50329287223983
3067,-97.74763725990734
3167,-132.3306315388327
3324,-25.51288576712622
3440,-51.66352513358116
3520,-77.5489722759598
3647,-129.32910068954075
3722,-179.46994165219743
3814,-137.41814667253567
3941,-350.4386890481388
4066,-151.14062363585768
4175,-59.47056467736356
4267,-61.46497484748183
4346,-81.21944055783314
4476,-292.9465834700599
4614,-153.3830672204881
4695,-9.9541101282108
4834,-279.48013254404134
4958,-87.69873543582037
5032,-45.62788861556775
5137,-21.56504481788842
5243,-187.46042239583429
5318,-62.96901849734169
5460,-190.19966378174198
5594,-17.14518578837817
5673,-103.28540903052537
5807,-86.65285535500215
5925,-133.42746160967224
6025,-128.75479249291917
6093,-65.48876917908801
6184,-78.03102389577883
6298,-136.44404271230331
6372,-164.08833405333394
6527,-99.28093466079979
6668,-56.951120604593456
6778,-163.11782853995035
6860,-116.34807329492989
6996,-91.82039706705983
7167,-137.50162628180126
7340,-118.91080827327269
7428,-204.18665868617308
7543,-94.40017654562756
7706,-33.06672848576841
7919,-67.36316495906253
8046,-144.51473201528233
8133,-61.06718631656361
8296,-65.86371905674467
8396,-109.70670442055157
8543,-63.44158502592754
8610,-109.77033707861919
8715,-57.80747126395394
8848,-273.5282284184
8969,-87.7521886525407
9097,-129.70797268529063
9216,-73.65798370166044
9443,-219.12251323013876
9522,-41.34853986087157
9611,-63.08840023528364
9710,-81.94115605652391
9816,-47.947188462167645
10046,-255.7971593460591
10206,-101.31562572985587
10365,-42.190479076114144
10521,-91.9625003369424
10627,-66.4001774403099
10839,-177.29969899366688
10948,-70.15354303765972
11048,-186.63142696534032
11170,-127.99958057750061
11260,-67.88759950373425
11371,-138.963581912902
11466,-7.972053916725301
11603,-55.243160905219895
11811,-3.517519493635959
11893,-61.78289920462778
12032,-57.83826872542703
12109,-53.070052881649545
12219,-24.384196616432575
12762,-183.32473514033202
12921,-124.79399400408299
13093,15.916516306748093
13402,-80.95692179419717
13516,-59.430544960497414
13674,-5.007097774313877
13782,-15.89607858814513
14011,-64.86309840357627
14165,-37.76356586051148
14363,-210.06348650229242
14488,-75.27796768593417
14634,-27.797181192006946
14764,-30.249905643309987
14963,-63.853775731531854
15093,23.132609555171328
15449,-193.48901567945825
15656,-26.184922443128798
15802,-53.92644854091871
16179,-185.3035710982444
16478,-285.01884273722146
16640,-52.34647534416844
16873,-356.46242690017004
17808,-236.33778634092496
17934,16.223423121006462
18207,19.880676671968644
18596,-12.49219173751564
18711,-7.684108600756176
18869,-95.76267737031016
19068,-41.552055318057484
19281,-42.597856119305725
19420,-8.904113309315548
19558,10.475185116982672
19836,-50.369846017235815
19939,-34.433172153550885
20029,-26.302619593806284
20148,-69.62274796827018
20321,-31.90010736573535
20426,42.370532776319806
20587,-17.032092687801168
20766,-25.1557907803911
21528,-135.51648982825884
21631,-61.202878028076185
21737,0.8483357901444606
22737,-7.120437896395871
22901,19.310115513460687
23016,-169.74755202291232
24016,31.177002537188642
24231,-13.939373348372072
25231,-20.29497481184982
25688,-53.63178521104874
25851,-42.9463337061341
25957,17.31491802473282
26954,-237.49693707735085
27144,24.176623398179046
27510,34.18904761035219
27707,-11.39107254243467
27831,-16.80394682924208
27964,6.892165075463282
28215,28.438509303368193
28672,-161.77475767037134
28934,-5.8400961383929655
29905,-281.0527223108662
30045,7.8624763706067995
30781,-143.9208884481996
31300,-185.68305957518197
31914,-50.942161461065524
32540,-187.03092798101216
32618,-40.98329583953014
33291,-161.2764899004698
34055,-312.8934417542486
35055,-18.802408749466053
35814,-189.78400185077234
35996,-26.555288475525458
36625,-345.24058197832346
37567,-302.75707970317916
37861,-156.64851824633894
38717,-174.360853777353
39582,-247.32150964239227
40023,-179.18272382736546
40301,-24.62133444389184
40432,9.775385434192927
41432,-34.88041067658652
41565,9.00990128852709
42565,-87.75903571586254
43199,-174.91412170604667
43358,28.27356103198224
43944,-200.02262460510167
44397,-81.64998988676174
45397,-0.5068768144028712
45527,54.02666745202853
46462,-272.4818203602233
47308,-162.56604690029417
48051,-209.85098033463316
48503,-181.51611475563766
49503,-48.152480789658114
50503,-52.89660457330626
50657,-35.557947751595265
51657,-119.04211505872247
51761,-29.623675360700204
51874,-10.196795853479529
52632,-251.54883691072752
53632,-133.96326918460764
54062,-190.61411389129455
54946,-350.46060228858744
55464,-325.4023739457715
56094,-396.9703984234451
57094,-92.69200905117671
57785,-232.49702116634464
58368,-174.02748604599563
59263,-274.7073318493176
59893,-249.82693628089552
60893,4.7114883248370045
61893,-167.90179371332061
62893,-60.54331801037864
63890,-268.45075706556213
64111,-23.620499235827523
64317,-164.92399942270802
64945,-183.05579302038916
65692,-239.67136726634533
66692,-51.69559881736941
67359,-200.58138422099933
67520,-99.16386522413558
68520,-52.798226937074645
69520,-99.79101938635303
69678,3.487321799986873
70459,-330.1423217846243
71349,-243.79220030742914
72349,-38.279108511253966
73118,-183.07003888418382
73726,-136.813892519178
74175,-154.9296582363762
74293,-151.20369779442774
75293,-6.2822624124228215
76293,-96.18977868994179
76426,-87.6422591429024
77426,-24.707443005063546
78426,-75.14915097763686
79426,-109.58757632215179
80426,-70.17967885120142
81426,-91.3724899756607
82111,-181.1949884398516
83111,-85.76833451344625
83358,-126.2285028471979
84358,-45.18281917469509
85358,-49.60632866773296
86049,-208.8756560358013
87049,-51.01661200398555
88049,-105.40513118957867
88647,-154.97186106790372
89647,-53.381286509914325
90244,-148.50680811623303
91244,-3.712597051967371
92244,-25.44631914076947
92417,-106.57638919883784
93417,-44.878345002920454
94417,-64.70795396518757
95065,-225.07718509535044
95554,-133.49784419498567
95878,-152.9726363657963
96377,-137.8782540779552
97377,-36.96415652944636
98377,-2.7249462246226264
99377,-125.71208620676259
99796,-147.48151553737907
100106,-112.41408342075799
101106,-20.50728041647359
102106,-37.65605691196548
103106,5.248212330549897
104106,-36.202784664714706
105106,-66.75923328134833
106106,-24.976115227444907
107106,-121.51931704103839
107224,-145.8662806441277
108224,-49.52963417574687
109224,-41.46552116618919
109898,-201.37466537692796
110898,-42.61453491144173
111264,-120.74126325892567
112264,-41.81719046282825
113019,-173.1046649092209
113726,-138.00222627474986
113932,-119.04513312333731
114932,-49.7773696547206
115932,-86.46688433355502
116808,-236.02897032064928
116968,-103.42083997577998
117968,-8.967610016394568
118968,-35.395970747949654
119136,-83.93385440288161
119404,-68.41640131310027
120404,-103.03004540167984
120647,-57.573052785436346
121219,-168.97036851582158
121668,-112.35119123571505
121804,-194.3297640315499
122804,-90.77264743788744
123804,-78.96793533055458
124804,-12.288875281315953
125804,-22.230619847482956
126804,-41.513486807542584
127804,-57.95584684938391
128459,-174.16450200275318
128682,-142.42647934582607
129682,7.02718801044036
129834,-86.9048898116886
130834,-40.560005548244185
131834,-127.45328738873522
132169,-77.79382563878065
133169,-45.26109997125636
134169,-31.65074067827861
135169,-38.372334378397944
135520,-114.76005054049767
136520,-0.8008549199776844
136761,-69.56093555542344
136918,-112.30470068895673
137918,-90.14385229974968
138918,-83.91684771567643
139918,-46.94250336809381
140918,-28.51866763409298
141199,-82.4669317338418
141612,-84.13095274630275
142612,-18.350420573938983
143388,-209.43172624897846
144388,-28.744548667880238
145388,-65.62902772677859
146388,-9.620477119722016
146582,-66.78266192441458
146824,-162.27581524216382
147049,-114.41104151476418
147264,-94.71152541652633
148264,-44.08936612244327
149264,-27.816188290777674
150264,-68.30466285900097
150400,-66.3993259279724
151400,-48.26744767262669
151551,-34.215429626302694
152551,-24.225724191090144
153551,-39.71209407444463
153896,-136.96473366308672
154896,-20.891370491630497
155896,-144.85991135320555
156896,-186.97966473111592
157181,-104.74750776695242
157855,-137.81490031731116
158855,-83.43119254723297
159855,-68.31275177708599
160855,-61.06196298037381
161116,-71.32003653477068
162116,-61.32432048025338
163116,-53.95157901314619
164116,-50.81072654043947
165116,-67.61977807972848
165641,-162.8834453516081
166641,-61.67721754075038
167641,-42.87903487686484
168641,-109.54384451204909
169641,-26.757034823063506
170641,-75.29116065538729
171641,-74.23539384636618
172641,-67.693507079136
173641,-16.722828729821458
174641,-88.79184766658938
175641,8.278402713367628
176401,-178.429585212534
176590,-45.99069115527918
177590,-65.38448715074843
178590,-15.532189039717032
179190,-166.6977616148201
180190,-8.579501544524362
180405,-95.6454884300525
180582,-125.08891784920631
180722,-104.95203140761639
181722,-9.957479606379353
182722,-22.296906588129453
183722,21.113350896097337
184722,7.0481655311306985
184935,-116.19035964751762
185935,79.77888705259446
186935,-24.265600705407792
187450,-103.54080083409067
188450,-86.81156883202965
188594,-89.13094884137661
189594,-78.19846976419716
190594,-30.410119392280865
191594,15.553495445533343
192594,-20.513741414398492
193449,-197.59270023975415
194442,-214.05987481569673
195442,-42.05418598618343
195629,-128.3382505292805
196629,-28.48189716151007
196713,-35.33081624028968
197713,5.175542325271761
198713,-67.1904237288832
199713,25.177522936180573
199791,-20.144776202531304
199908,-29.472350937960115
200908,-35.6663898226222
201005,31.41835309399667
202005,9.974969915298662
202179,-1.2561795537693854
203014,-58.84411376884956
203071,-135.96085707724052
203150,-160.85032390897342
203204,-153.4026575850873
204204,-33.607469174930515
204296,-83.90202550066773
205296,122.74512176475612
206239,180.33332281687967
206339,10.070892250976968
207339,-10.045812592200367
208149,-174.16482718961714
208260,-74.23604659803533
208383,14.015070675686815
209383,-40.209017219714156
209584,-142.09061235148062
210082,189.3072116447524
211082,-42.92455914964706
212082,-4.07448934300035
213082,-74.96272535266655
213186,-28.08865719607789
213494,260.8756847014107
214494,-6.839137570671298
215494,43.99091998118946
216494,13.241305653750631
217494,-27.430048921638676
218494,-12.951557355318446
219494,-11.934528400953514
220494,1.6291728725099313
221494,-20.3756596161765
221639,-83.86285737757969
222639,-39.8669197362661
223639,-25.328738692596254
224639,-76.01245293833189
224829,-1.4025312122165303
225829,-59.50146409722167
225994,-144.13246663332853
226994,4.973626523394158
227994,-21.17132164150243
228105,-70.84950796619597
